name,id,lang
CurrentTimeTV,UCBG57608Hukev3d0d-gvLhQ,ru
vdud,UCMCgOm8GZkHp8zJ6l7_hIuA,
NavalnyRu,UCsAw3WynQJMm7tMy093y37A,ru
bbcnewsrussian,UC8zQiuT0m1TELequJ5sp5zw,ru
vse_raboty_horoshi,UCkbSaWqttPHTS00K0fjniTQ,ru
TEDnaRus,UCkVfFOzvocgJ9srm3lc6Qsw,ru
Vsekakuzverei-channel,UCU_a2V_uDPSxvbV2B0tW7vA,ru
dostoverno_ru,UCtsCAuG4sK9had2F-nnUfyA,ru
mipt_study,UCEEhbFAvl3fOW5geICQbMcg,ru
TheBadComedian,UC6cqazSR6CnVMClY0bJI0Lg,ru
larinshow,UCEbpRAmSB6ZWMjyNTvpIkFA,ru
MeduzaPro,UC-30BJyAAObw1irWxu6IPkw,ru
yashin_russia,UCoHH5raTevyI35tfb1YF6qA,ru
dwrussian,UCXoAjrdHFa2hEL3Ug8REC1w,ru
bondarenko_blog,UCwLTi_1yOgDNf9i3bhBibCA,ru
Max_Katz,UCUGfDbfRIx51kJGGHIFo8Rw,ru
Gordonua,UCCcprrrcbdaj14kYPjcbj9w,ru
vdud,UCMCgOm8GZkHp8zJ6l7_hIuA,ru
Wylsacom,UCt7sv-NKh44rHAEb-qCCxvA,ru
808media,UCRP4EhX1Op-jL7D87PB3qhQ,ru
smotraTV,UCv2hYhRYO8Fmbs5mUemz2oQ,ru
dima91gordey,UC-Osiqly2kWjXcB6ElD2iCQ,ru
clearinvestor,UCuODCJYPj16ZXuzkVnX3azg,ru
FMSMU,UCcHLJgRkV15QdjVaMPw16kQ,ru
TutorOnline_ru,UCP1itCwGbXmHIsNrCIm1Hsw,ru
meduzapodcasts,UCGQy4rEB6H8u92RlCBFyb9A,ru
Fake_News,UClUu3autEGuQdgtrqefGTyg,ru
tvrain,UCdubelOloxR3wzwJG9x8YqQ,ru
ElChurches,UC3MkSLMRz4KzhsjPUtBtPdg,es
urbantecno,UCHhfu5p0zydyM-_nw3IJvig,es
yoscontenidos,UCvDsFqh58gI_ZVoAPTjmTwQ,es
mouredev,UCxPD7bsocoAMq8Dj18kmGyQ,es
MemoriasDePez,UCPH3Oz99Y_jrVBCQMjQZNSg,es
carwowesp,UCeymXIrIhMYFmCNIlwrl9Lw,es
LlegaVideos,UCehXKWrzbo97xY8zjFvyHNQ,es
vicesat,UC76hs2bdrebFYvdR-I8bwyw,es
HealthyPockets,UC7rmCjnXx6JNr_Rm4n37cFA,es
